# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "../assignment-data//db/gencode.v30.annotation.gtf" "-g" "gene_name" "-o" "../assignment-data//results/diff-res/counts.txt" "../assignment-data//results/diff-res/bwa/S1.bam" "../assignment-data//results/diff-res/bwa/S2.bam" "../assignment-data//results/diff-res/bwa/S3.bam" "../assignment-data//results/diff-res/bwa/S4.bam" "../assignment-data//results/diff-res/bwa/S5.bam" "../assignment-data//results/diff-res/hisat/S1.bam" "../assignment-data//results/diff-res/hisat/S2.bam" "../assignment-data//results/diff-res/hisat/S3.bam" "../assignment-data//results/diff-res/hisat/S4.bam" "../assignment-data//results/diff-res/hisat/S5.bam" 
Geneid	../assignment-data//results/diff-res/bwa/S1.bam	../assignment-data//results/diff-res/bwa/S2.bam	../assignment-data//results/diff-res/bwa/S3.bam	../assignment-data//results/diff-res/bwa/S4.bam	../assignment-data//results/diff-res/bwa/S5.bam	../assignment-data//results/diff-res/hisat/S1.bam
AC018607.1	0	0	0	0	0	0
SNORA1B	0	0	0	0	0	0
RN7SL798P	0	0	0	0	0	0
RN7SL323P	0	0	0	0	0	0
AC046176.1	86	95	135	115	104	0
RPS20	428	437	474	514	543	0
SNORD54	0	0	0	0	0	0
CERNA3	0	0	0	0	0	0
NPM1P21	8	14	7	7	6	0
MOS	0	0	0	0	0	0
PLAG1	10	16	8	16	27	0
CHCHD7	28	40	57	57	34	0
AC107952.2	0	0	0	0	0	0
AC107952.1	0	0	0	0	0	0
SDR16C5	0	0	0	0	0	0
SDR16C6P	0	0	0	0	0	0
PENK	0	0	0	0	0	0
AC012349.1	0	0	0	0	0	0
SEPT10P1	62	71	81	58	65	0
LINC00968	0	0	0	0	0	0
AC013644.1	0	0	0	0	0	0
RPL37P6	20	21	19	32	22	0
AC009597.1	0	0	0	0	0	0
AC009597.2	0	0	0	0	0	0
RNU6-13P	0	0	0	0	0	0
IMPAD1	444	399	321	376	346	0
RNA5SP266	0	0	0	0	0	0
LINC01606	0	0	0	0	0	0
AC025674.1	0	0	0	0	0	0
AC025674.2	0	0	0	0	0	0
LINC00588	0	0	0	0	0	0
RNU6-596P	0	0	0	0	0	0
AC068075.1	0	0	0	0	0	0
RPL30P10	0	0	0	0	0	0
AC090796.1	0	0	0	0	0	0
AC104051.1	0	0	0	0	0	0
AC104051.2	0	0	3	0	0	0
LINC01602	0	0	0	0	0	0
AC012103.1	0	0	0	0	0	0
FAM110B	2	2	3	2	4	0
AC104350.1	0	0	0	0	0	0
AC027698.1	0	0	0	0	0	0
RPL26P26	0	0	0	0	0	0
AC092819.1	0	0	0	0	0	0
UBXN2B	10	9	8	32	13	0
AC009927.1	14	2	6	6	9	0
CYP7A1	0	0	0	0	0	0
PPIAP85	0	0	0	0	0	0
SDCBP	434	409	380	429	426	0
NSMAF	202	213	168	220	213	0
AC068522.1	0	2	0	0	0	0
TOX	19	38	23	10	22	0
RNU4-50P	0	0	0	0	0	0
AC105150.1	0	0	0	0	0	0
AC090152.1	2	4	2	6	6	0
RNA5SP267	0	0	0	0	0	0
AC087664.3	0	1	0	3	0	0
AC087664.1	0	0	0	0	0	0
AC087664.2	0	0	0	0	0	0
AC107934.1	0	0	0	0	0	0
AC107934.2	0	0	0	0	0	0
AC022709.1	0	0	0	0	0	0
AC021393.1	0	0	0	0	0	0
SLC2A13P1	0	0	0	0	0	0
CA8	2	0	0	2	0	0
LINC01301	0	0	2	0	0	0
PDCL3P1	0	0	0	0	0	0
RAB2A	502	553	562	491	572	0
AC068389.3	0	0	0	0	0	0
AC068389.1	0	0	0	0	0	0
AC068389.2	0	0	0	0	0	0
CHD7	113	102	176	158	135	0
AC113143.1	0	0	0	0	0	0
AC113143.2	0	0	0	0	0	0
AC022182.1	0	0	0	0	0	0
AC022182.3	115	132	128	133	138	0
AC022182.2	0	0	0	0	0	0
CLVS1	0	0	0	0	0	0
NPM1P6	166	196	177	199	196	0
AC023866.2	0	0	0	0	0	0
AC023866.1	0	0	0	0	0	0
ASPH	581	638	566	568	554	0
KRT8P3	9	7	6	12	9	0
RN7SKP97	0	0	0	0	0	0
MIR4470	0	0	0	0	0	0
AC091173.1	0	0	0	2	0	0
AC025524.2	0	0	0	0	0	0
AC025524.1	0	0	0	0	0	0
LINC02155	0	0	0	0	0	0
C1GALT1P3	0	0	0	0	0	0
NARSP2	0	0	0	0	0	0
AC104852.1	38	30	34	33	32	0
AC023095.1	0	0	0	0	0	0
NKAIN3	0	0	0	0	0	0
AC018861.2	0	0	0	0	0	0
AC018861.1	0	0	0	0	0	0
XRCC6P4	0	0	0	0	0	0
SRPK2P	23	6	19	6	10	0
NKAIN3-IT1	0	0	0	0	0	0
AC120042.1	0	0	0	0	0	0
GGH	117	170	169	162	121	0
AC120042.2	0	0	0	0	0	0
TTPA	0	0	0	0	0	0
AC011978.1	6	5	1	0	5	0
YTHDF3-AS1	0	0	0	2	0	0
YTHDF3	139	136	155	134	149	0
AC011978.2	0	1	0	0	0	0
RN7SL135P	0	0	0	0	0	0
AC011124.1	0	0	0	0	0	0
IFITM8P	0	0	0	0	0	0
AC011124.2	0	0	0	0	0	0
AC018953.1	0	0	0	0	0	0
RN7SKP135	0	0	0	0	0	0
LINC01414	0	0	0	0	0	0
AC069133.1	0	0	0	0	0	0
LINC01289	0	0	0	0	0	0
COX6CP8	0	0	0	0	0	0
MIR124-2HG	0	0	0	0	0	0
MIR124-2	0	0	0	0	0	0
AC090136.1	0	0	0	0	0	0
AC090136.2	0	0	0	0	0	0
AC090136.3	0	0	0	0	0	0
BHLHE22	0	0	0	0	0	0
CYP7B1	0	0	1	0	0	0
AC104232.2	0	0	0	0	0	0
AC104232.1	0	0	0	0	0	0
AC087808.1	0	0	0	0	0	0
RPL31P41	0	0	0	0	0	0
LINC00251	0	0	0	0	0	0
PPIAP86	0	0	0	0	0	0
LINC01299	0	0	0	0	0	0
AC100814.1	0	1	0	0	2	0
ARMC1	67	73	96	95	68	0
MTFR1	58	77	72	137	66	0
AC055822.1	0	0	0	0	0	0
PDE7A	36	27	26	38	41	0
AC100812.1	0	0	0	0	0	0
DNAJC5B	0	0	0	0	0	0
AC084082.1	0	0	0	0	0	0
TRIM55	0	0	0	0	0	0
CRH	0	0	0	0	0	0
LINC00967	0	0	0	0	0	0
RRS1-AS1	2	0	0	0	0	0
RRS1	50	64	51	56	61	0
AC009879.2	0	0	0	0	0	0
AC009879.3	0	0	0	0	0	0
ADHFE1	0	0	0	0	0	0
AC009879.1	0	0	0	0	0	0
VXN	0	0	0	0	0	0
RNU6-1324P	0	0	0	0	0	0
MYBL1	32	4	16	16	18	0
VCPIP1	46	31	11	45	28	0
SGK3	9	27	30	30	28	0
C8orf44	5	1	6	0	6	0
PTTG3P	43	47	46	58	55	0
MCMDC2	0	0	0	0	0	0
SNHG6	51	84	67	36	60	0
SNORD87	0	0	0	0	0	0
TCF24	0	0	0	0	0	0
PPP1R42	0	0	0	0	0	0
AC110998.1	29	30	24	36	16	0
COPS5	125	85	79	105	121	0
CSPP1	49	18	45	21	20	0
RNA5SP268	0	0	0	0	0	0
AC087359.1	0	0	0	0	0	0
ARFGEF1	146	144	165	161	235	0
AC021321.1	0	2	0	0	0	0
AC011037.1	0	0	0	0	0	0
CPA6	0	0	0	0	0	0
NACAP10	0	0	0	0	0	0
AC022874.1	0	0	0	0	0	0
NDUFS5P6	0	0	0	0	0	0
PREX2	118	165	130	126	174	0
AC011853.2	0	0	0	0	0	0
AC011853.1	0	0	0	0	0	0
RPL31P40	0	0	0	0	0	0
C8orf34-AS1	0	0	0	0	0	0
C8orf34	0	0	0	0	12	0
RPS15AP25	0	0	0	0	0	0
RNA5SP269	0	0	0	0	0	0
AC083967.1	0	0	0	0	0	0
LINC01592	0	0	0	0	0	0
RNU7-102P	0	0	0	0	0	0
AF201337.1	419	394	379	404	400	0
AC021785.1	0	0	0	0	0	0
LINC01603	0	0	0	0	0	0
AC022790.1	0	0	0	0	0	0
SULF1	57	68	43	72	23	0
SLCO5A1	0	0	0	0	0	0
RN7SKP29	0	0	0	0	0	0
AC091047.1	0	0	0	0	0	0
AC079089.3	1	3	0	3	3	0
AC079089.1	0	0	0	0	0	0
AC079089.2	0	0	1	1	2	0
RN7SL675P	0	0	0	0	0	0
RNA5SP270	0	0	0	0	0	0
AC090574.1	0	0	0	0	0	0
SDCBPP2	86	80	72	82	60	0
SUMO2P20	0	0	0	0	0	0
PRDM14	0	0	0	0	0	0
RNU1-101P	0	0	0	0	0	0
H2AFZP2	185	183	225	161	182	0
NCOA2	14	27	11	19	29	0
BTF3P12	30	52	48	38	48	0
RNY3P14	0	0	0	0	0	0
AC022730.2	0	0	3	0	0	0
AC022730.3	0	0	0	0	0	0
AC022730.4	0	0	0	0	0	0
RN7SL203P	0	0	0	0	0	0
AC022730.1	0	0	0	0	0	0
TRAM1	558	582	517	618	558	0
LACTB2-AS1	0	0	0	0	0	0
LACTB2	11	12	17	18	12	0
RN7SL19P	0	0	0	0	0	0
XKR9	0	0	0	0	0	0
AC015687.1	0	0	0	0	0	0
AC022858.1	0	0	0	0	0	0
EYA1	0	0	0	0	0	0
TRAPPC2P2	0	0	0	0	0	0
AC009446.1	0	0	0	0	0	0
AC104012.1	0	0	0	0	0	0
MSC-AS1	0	0	0	0	0	0
MSC	0	0	0	0	0	0
RPS20P20	0	0	0	0	0	0
TRPA1	0	0	0	0	0	0
AC078906.1	0	0	0	0	0	0
AC022905.1	0	0	0	0	0	0
RNA5SP271	0	0	0	0	0	0
AC124293.1	0	0	0	0	0	0
AC011131.1	0	0	0	0	0	0
KCNB2	0	0	0	0	0	0
HAUS1P3	0	0	0	0	0	0
AC013562.2	0	0	0	0	0	0
AC013562.1	0	0	0	0	0	0
AC090735.1	0	0	0	0	0	0
AC022893.2	0	0	0	0	0	0
TERF1	25	21	33	19	16	0
RNU6-285P	0	0	0	0	0	0
AC022893.3	0	0	0	0	0	0
AC022893.1	1	0	0	0	0	0
SBSPON	0	0	0	2	0	0
AC100823.1	0	0	0	0	0	0
AC100823.2	0	0	0	0	0	0
C8orf89	0	0	0	0	0	0
PRXL2AP2	51	74	75	60	62	0
RPL7	4	13	10	7	17	0
RDH10	30	30	37	47	22	0
RDH10-AS1	0	0	0	0	0	0
AC111149.2	0	0	0	0	0	0
AC111149.1	0	0	0	0	0	0
STAU2-AS1	0	0	0	0	2	0
STAU2	58	49	59	72	78	0
AC018620.1	0	0	0	0	0	0
AC100784.1	0	0	0	0	0	0
VENTXP6	0	0	0	0	0	0
AC027018.1	0	0	0	0	0	0
AC022826.2	0	0	0	0	0	0
UBE2W	31	50	16	20	21	0
AC022826.1	0	0	0	0	0	0
RN7SL760P	0	0	0	0	0	0
AC022868.2	0	0	2	0	0	0
GYG1P1	6	4	4	5	5	0
ELOC	63	62	49	51	70	0
TMEM70	71	56	50	80	60	0
RPS20P21	0	0	0	0	0	0
AC022868.1	45	51	65	42	69	0
LY96	11	30	20	5	13	0
RNU6-1300P	0	0	0	0	0	0
AC087672.2	0	0	0	0	0	0
RPS3AP32	0	0	0	0	0	0
RNU6-1197P	0	0	0	0	0	0
AC087672.1	0	0	0	0	0	0
AC087627.1	0	0	0	0	0	0
JPH1	8	7	0	0	4	0
GDAP1	0	0	7	15	2	0
AC103952.1	0	0	0	0	0	0
MIR5681A	0	0	0	0	0	0
MIR5681B	0	0	0	0	0	0
MIR2052HG	0	0	0	0	0	0
AC115837.1	480	517	479	592	485	0
AC115837.2	0	0	0	0	0	0
MIR2052	0	0	0	0	0	0
AC011632.1	0	0	0	0	0	0
AC026616.1	0	0	0	0	0	0
PI15	0	0	0	0	0	0
AC011632.2	0	0	0	0	0	0
CRISPLD1	18	32	25	19	24	0
AC100782.1	0	0	0	0	0	0
AC022274.1	0	0	0	0	0	0
CASC9	0	0	0	0	0	0
HIGD1AP6	0	0	0	0	0	0
PKMP4	74	48	72	68	51	0
HNF4G	0	0	0	0	0	0
RNU2-54P	0	0	0	0	0	0
AC067773.1	0	0	0	0	0	0
LINC01109	0	0	0	0	0	0
LINC01111	0	0	0	0	0	0
ZFHX4-AS1	0	0	0	0	0	0
AC013509.1	0	0	0	0	0	0
MRPL9P1	6	12	2	4	3	0
ZFHX4	0	2	2	8	0	0
AC023200.1	0	0	0	0	0	0
MIR3149	0	0	0	0	0	0
PEX2	44	39	32	24	38	0
HIGD1AP18	0	0	0	0	0	0
AC062004.1	0	0	0	0	0	0
AC084706.1	0	0	0	0	0	0
RNU6-1220P	0	0	0	0	0	0
PKIA-AS1	0	2	0	2	0	0
PKIA	185	172	152	210	169	0
AC068700.1	0	12	0	4	2	0
ZC2HC1A	21	23	8	11	30	0
IL7	0	0	0	0	0	0
AC100854.1	0	0	0	0	0	0
THAP12P7	11	17	11	23	19	0
AC083837.1	0	0	0	0	0	0
LINC02605	0	0	0	0	0	0
AC138646.1	0	0	0	0	0	0
AC100870.1	0	0	0	0	0	0
RPL3P9	0	0	0	0	0	0
STMN2	0	0	0	0	0	0
HEY1	2	0	18	0	2	0
LINC01607	0	0	0	0	0	0
AC036214.1	0	0	0	0	0	0
RNU7-85P	0	0	0	0	0	0
AC036214.4	0	0	0	0	0	0
MRPS28	27	20	36	18	21	0
AC036214.3	0	0	0	0	0	0
AC036214.2	0	0	0	2	0	0
AC009686.2	0	0	0	0	1	0
TPD52	42	36	31	34	38	0
AC009686.1	2	0	0	0	0	0
RN7SL41P	0	0	0	0	0	0
MIR5708	0	0	0	0	0	0
AC104212.2	0	0	0	0	0	0
AC034114.2	0	0	0	0	2	0
AC104212.1	0	1	0	0	0	0
RF00401	0	0	0	0	0	0
AC034114.1	0	3	0	0	3	0
RNU6-1213P	0	0	0	0	0	0
AC009812.1	0	0	0	0	1	0
ZBTB10	53	47	58	55	53	0
AC009812.3	0	4	4	0	0	0
AC009812.4	4	0	0	2	0	0
RPSAP47	41	35	66	40	41	0
RNU7-174P	0	0	0	0	0	0
AC009812.2	7	5	3	13	11	0
RNU2-71P	0	0	0	0	0	0
SLC25A51P3	0	0	0	0	0	0
RN7SL107P	0	0	0	0	0	0
ZNF704	75	38	71	35	37	0
CKS1BP7	26	30	34	41	30	0
RNU11-6P	0	0	0	0	0	0
RN7SL308P	0	0	0	0	0	0
HMGB1P41	0	0	0	0	0	0
PAG1	2	0	0	0	0	0
AC022778.1	0	0	0	0	0	0
AC079209.2	0	0	0	0	0	0
AC079209.1	0	0	0	0	0	0
AC009902.1	0	0	0	0	0	0
UBE2HP1	17	38	27	30	29	0
AC009902.3	0	0	0	0	1	0
AC009902.2	1	0	4	0	4	0
FABP5	7	7	2	11	5	0
AC018616.1	0	0	0	0	0	0
PMP2	0	0	0	0	0	0
FABP9	0	0	0	0	0	0
FABP4	68	71	61	24	46	0
AC023644.1	0	0	0	0	0	0
FTH1P11	48	64	49	60	80	0
FABP12	0	0	0	0	0	0
IMPA1P1	1	0	0	0	0	0
NIPA2P4	4	1	1	5	0	0
RPS26P34	0	0	0	0	0	0
SLC10A5P1	0	0	0	0	0	0
IMPA1	54	62	45	53	55	0
SLC10A5	0	0	0	0	0	0
AC132219.2	0	0	0	0	0	0
ZFAND1	58	63	47	47	45	0
CHMP4C	0	0	0	0	3	0
AC132219.1	0	0	0	0	0	0
SNX16	23	51	16	10	23	0
HNRNPA1P36	0	0	0	0	0	0
LINC02235	0	0	0	0	0	0
AC027701.1	0	0	0	0	0	0
HNRNPA1P4	1	0	2	1	1	0
AC060765.1	0	0	0	0	0	0
AC105031.2	0	0	0	0	0	0
AC105031.3	0	0	0	0	0	0
AC105031.1	0	0	0	0	0	0
AC090095.1	0	0	0	0	0	0
AC090132.1	0	0	0	0	0	0
AC090132.2	0	0	0	0	0	0
LINC01419	0	0	0	0	0	0
AC015522.1	0	0	0	0	0	0
TPM3P3	0	0	0	0	0	0
AC012400.1	0	0	0	0	0	0
RALYL	0	0	0	0	0	0
RNU6-1040P	0	0	0	0	0	0
AC092709.1	0	0	0	0	0	0
AC009901.1	0	0	0	0	0	0
AC009901.2	1	1	0	0	1	0
ACTBP6	0	0	0	0	0	0
JCHAINP1	0	0	0	0	0	0
AC091175.1	0	0	0	0	0	0
LRRCC1	8	7	0	0	0	0
AC011773.4	2	0	0	0	0	0
E2F5	20	16	8	14	6	0
AC011773.1	0	0	0	0	0	0
C8orf59	31	29	23	34	24	0
CA13	5	5	10	6	8	0
AC011773.3	0	0	0	0	0	0
AC011773.2	0	0	0	0	0	0
CA1	0	0	2	0	0	0
CA3	0	0	0	0	0	0
CA3-AS1	0	0	0	0	0	0
CA2	0	0	0	0	0	0
AC093331.2	0	0	0	0	0	0
AC093331.1	1	1	1	0	2	0
REXO1L8P	0	0	0	0	0	0
REXO1L3P	0	0	0	0	0	0
REXO1L1P	0	0	0	0	0	0
REXO1L12P	0	0	0	0	0	0
REXO1L11P	0	0	0	0	0	0
REXO1L10P	0	0	0	0	0	0
REXO1L9P	0	0	0	0	0	0
REXO1L2P	0	0	0	0	0	0
AC232323.1	0	0	0	0	0	0
REXO1L4P	0	0	0	0	0	0
REXO1L5P	0	1	0	0	0	0
REXO1L6P	1	0	0	0	0	0
AC100801.1	0	0	0	0	0	0
AC232323.2	0	0	0	0	0	0
ATP6V0D2	0	0	0	0	0	0
AC023194.1	0	0	0	0	0	0
AC023194.2	0	0	0	0	0	0
PSKH2	0	0	0	0	0	0
AC023194.3	0	0	0	0	0	0
AC084128.1	0	0	0	0	0	0
SLC7A13	0	0	0	0	0	0
AC103760.1	0	0	0	0	0	0
WWP1	31	17	35	34	18	0
RMDN1	47	72	86	71	46	0
NTAN1P2	51	50	33	39	30	0
SLC2A3P4	0	0	4	1	2	0
CPNE3	197	259	170	216	219	0
CNGB3	0	1	0	0	0	0
MIOXP1	0	0	0	0	0	0
GOLGA2P1	7	1	9	3	6	0
UBE2Q2P10	11	12	15	12	7	0
AC090572.3	0	0	0	0	0	0
AC090572.2	0	0	0	0	0	0
AC090572.1	0	0	0	0	0	0
CNBD1	0	0	0	0	0	0
AF121898.1	0	0	0	0	0	0
VTA1P2	1	0	0	0	1	0
IARS2P1	0	0	0	0	0	0
SOX5P1	0	0	0	0	0	0
AC005066.1	0	0	0	0	0	0
DCAF4L2	0	0	0	0	0	0
AC037450.1	0	0	0	0	0	0
MMP16	88	53	55	74	53	0
AC090578.1	0	0	0	0	0	0
RNA5SP272	0	0	0	0	0	0
AC090568.1	1	0	2	1	0	0
AC090578.2	0	0	0	0	0	0
RPSAP74	0	0	0	0	0	0
KRT8P4	0	0	0	0	0	0
AF117829.1	6	3	3	1	0	0
RIPK2	102	151	89	138	137	0
COX6B1P6	0	0	0	0	0	0
AF117829.2	0	0	0	0	0	0
RNU6-925P	0	1	0	0	0	0
OSGIN2	82	83	98	88	77	0
NBN	95	84	78	77	114	0
DECR1	113	139	147	130	135	0
CALB1	1	0	0	0	0	0
LINC00534	0	0	0	0	0	0
RNA5SP273	0	0	0	0	0	0
AB015752.1	0	0	0	0	0	0
LINC01030	0	0	0	0	0	0
TMEM64	75	63	65	90	76	0
AC106038.1	0	0	0	0	2	0
AC106038.2	0	0	0	0	0	0
NECAB1	0	0	0	2	10	0
AC103770.1	0	0	0	0	0	0
C8orf88	10	4	5	4	8	0
PIP4P2	9	12	23	13	26	0
AC087439.1	0	0	0	0	0	0
AC087439.2	0	0	0	0	0	0
OTUD6B-AS1	24	27	26	28	10	0
OTUD6B	30	54	50	55	57	0
LRRC69	0	0	8	0	0	0
AC104966.1	0	0	0	0	0	0
MIR4661	0	0	0	0	0	0
SLC26A7	0	0	0	0	0	0
AC103409.1	0	0	0	0	0	0
RN7SKP231	0	0	0	0	0	0
PRR13P7	0	0	2	0	0	0
MRPS16P1	14	17	15	17	12	0
RUNX1T1	42	69	45	62	37	0
AF181450.1	0	0	0	0	0	0
AC104339.1	0	0	0	0	1	0
AC022695.1	0	0	0	0	0	0
AC022695.2	0	0	0	0	0	0
AC022695.3	0	0	0	0	0	0
AC091096.1	0	0	0	0	0	0
AC104211.2	0	0	2	0	0	0
AC104211.1	0	0	0	0	0	0
AC104211.4	0	0	0	0	0	0
AC104211.3	0	0	0	0	0	0
AC117834.1	0	0	0	0	0	0
TRIQK	29	17	31	31	20	0
IRF5P1	0	0	0	0	0	0
MIR8084	0	0	0	0	0	0
C8orf87	0	0	0	0	0	0
LINC00535	3	0	1	0	0	0
AC016885.1	0	0	0	0	0	0
AC016885.3	0	0	0	0	0	0
AC016885.2	0	0	0	0	0	0
RNA5SP274	0	0	0	0	0	0
ZNF317P1	0	0	0	0	0	0
FAM92A	14	28	13	8	14	0
AC120053.1	1	0	0	0	0	0
AC010834.3	2	4	0	0	1	0
RBM12B	16	24	30	30	40	0
AC010834.1	0	0	0	0	0	0
RBM12B-AS1	3	2	2	3	2	0
AC010834.2	0	0	0	0	0	0
TMEM67	14	16	34	28	9	0
AC084346.1	0	0	0	0	0	0
MYL12AP1	112	109	113	114	126	0
PDP1	96	139	95	107	117	0
MIR378D2HG	0	0	0	0	0	0
MIR378D2	0	0	0	0	0	0
PSMA2P2	0	0	0	0	0	0
RPL34P18	282	249	300	313	312	0
AC105081.1	0	0	0	0	0	0
AP003351.1	0	0	0	0	0	0
CDH17	0	0	0	0	0	0
AP003478.1	0	0	0	0	0	0
GEM	2	8	3	2	0	0
RPS4XP10	0	0	0	0	0	0
RAD54B	6	2	10	12	0	0
FSBP	0	2	6	4	2	0
VIRMA	170	191	187	177	172	0
AC023632.5	0	0	0	0	0	0
AC023632.2	2	0	0	0	0	0
AC023632.1	0	0	0	0	0	0
AC023632.3	0	0	0	0	0	0
AC023632.4	0	0	0	0	0	0
AC108860.2	0	0	0	0	0	0
ESRP1	0	0	0	0	0	0
AC108860.1	0	0	0	0	0	0
AP005660.1	0	0	0	0	0	0
DPY19L4	77	88	68	72	84	0
AP003692.1	0	0	0	0	0	0
INTS8	136	139	135	167	140	0
CCNE2	42	46	27	37	28	0
AC087752.4	0	0	0	0	0	0
AC087752.1	0	1	0	0	0	0
NDUFAF6	9	25	28	21	44	0
TP53INP1	194	158	122	124	135	0
AC087752.3	0	2	2	4	0	0
AC087752.2	0	0	0	0	0	0
RNU6-1209P	0	0	0	0	0	0
MIR3150BHG	0	0	0	0	0	0
AC068189.1	0	0	0	0	0	0
MIR3150B	0	0	0	0	0	0
MIR3150A	0	0	0	0	0	0
PLEKHF2	42	22	35	14	31	0
C8orf37-AS1	0	0	0	0	0	0
LINC01298	0	0	0	0	0	0
C8orf37	10	10	5	13	6	0
AC024995.1	0	0	0	0	0	0
AC083836.1	0	0	0	0	0	0
RNU6-690P	0	0	0	0	0	0
AC012339.2	0	0	0	0	0	0
AC012339.1	0	0	0	0	0	0
AC007992.1	0	0	0	0	0	0
AC007992.2	4	0	0	0	0	0
AP003465.2	0	0	0	0	0	0
GDF6	54	67	65	63	70	0
UQCRB	46	43	67	80	58	0
AP003465.1	1	0	0	0	0	0
MTERF3	61	31	59	26	48	0
PTDSS1	344	319	316	390	358	0
AP003548.1	0	0	0	0	0	0
RNU6-1172P	0	0	0	0	0	0
SDC2	6	15	0	2	5	0
CPQ	80	58	64	34	56	0
AP003117.2	0	0	0	0	0	0
AP003117.1	0	0	0	0	0	0
AP003115.1	0	0	0	0	0	0
TSPYL5	39	32	29	42	40	0
SNORD3H	0	0	0	0	0	0
AP002982.1	0	0	0	0	0	0
MTDH	479	494	424	422	459	0
LAPTM4B	236	187	200	179	233	0
AP003357.1	0	0	0	0	0	0
AP002906.1	0	0	0	0	0	0
SUMO2P18	0	0	0	0	0	0
RPS23P1	12	11	13	16	12	0
MATN2	38	27	31	48	43	0
RPL30	288	259	307	326	246	0
AP003352.1	4	1	3	1	1	0
SNORA72	0	0	0	0	0	0
RNU6-703P	0	0	0	0	0	0
ERICH5	0	0	0	0	2	0
RIDA	18	11	11	19	19	0
POP1	142	104	97	94	83	0
NIPAL2	17	19	31	6	10	0
RNU6-914P	0	0	0	0	0	0
STK3	36	43	44	54	31	0
AP003355.3	0	0	0	0	0	0
AP003355.1	3	2	5	4	7	0
KCNS2	0	0	0	0	0	0
AP003355.2	0	0	0	0	0	0
RNU6-748P	0	0	0	0	0	0
AP003467.1	0	0	0	0	0	0
AP003467.2	0	0	0	0	0	0
RPL19P14	0	0	0	0	0	0
AC016877.2	1	2	0	0	0	0
MRPL57P7	0	0	0	0	0	0
RN7SKP85	0	0	0	0	0	0
AC016877.3	0	0	0	0	0	0
OSR2	0	0	0	0	0	0
AC016877.1	0	0	0	0	0	0
AC104986.2	0	0	0	0	0	0
AC104986.1	0	0	0	0	0	0
VPS13B	108	117	64	72	88	0
AC107909.2	0	0	0	0	0	0
AC107909.1	0	0	0	0	0	0
AP004290.1	2	0	0	0	0	0
AP004289.2	0	0	0	0	0	0
AP004289.1	0	0	0	0	0	0
MIR599	0	0	0	0	0	0
MIR875	0	0	0	0	0	0
RN7SL350P	0	0	0	0	0	0
AC018442.1	0	0	0	0	1	0
AC018442.2	0	0	0	0	0	0
AC018442.3	0	0	0	0	0	0
COX6C	102	129	139	156	112	0
RGS22	0	0	0	0	0	0
SNORD77B	0	0	0	0	0	0
AC021590.1	0	0	0	0	0	0
FBXO43	0	0	3	2	0	0
POLR2K	61	76	81	112	87	0
SPAG1	40	52	32	9	22	0
AC025647.1	0	0	1	1	0	0
RNF19A	91	107	90	102	104	0
AP001574.1	0	0	0	0	0	0
AP003472.1	0	0	0	0	0	0
MIR4471	0	0	0	0	0	0
AP003472.2	0	0	0	0	0	0
AP000424.1	0	0	0	0	0	0
AP000424.2	0	0	0	0	0	0
ANKRD46	36	17	15	24	16	0
GAPDHP62	0	0	0	0	0	0
SNX31	0	0	0	0	0	0
AP001205.1	0	0	0	0	0	0
RNU6-1092P	0	0	0	0	0	0
PABPC1	1944	1939	1805	1867	1831	0
MIR7705	0	0	0	0	0	0
RNU6ATAC41P	0	0	0	0	0	0
RPS20P23	0	0	0	0	0	0
RNU4-83P	0	0	0	0	0	0
RPS26P6	108	106	89	106	99	0
AC027373.1	0	0	0	0	0	0
YWHAZ	905	840	817	846	842	0
RN7SL685P	0	0	0	0	0	0
AC018781.1	0	0	0	0	0	0
AP003469.2	0	0	0	0	0	0
AP003469.1	0	0	0	0	0	0
RN7SKP249	0	0	0	0	0	0
AP003469.3	0	0	0	0	0	0
AP003469.4	2	2	6	0	0	0
ZNF706	53	54	55	49	47	0
AP001330.5	0	0	0	0	0	0
AP001330.3	1	0	0	1	2	0
AP001330.2	0	0	0	0	0	0
AP001330.1	0	0	0	0	0	0
RNU7-67P	0	0	0	0	0	0
AP001330.4	0	0	0	0	0	0
NACA4P	111	89	96	69	73	0
DUXAP2	0	0	0	0	0	0
AP001208.1	0	0	0	0	0	0
RN7SL563P	0	0	0	0	0	0
AP001208.2	0	0	0	0	0	0
AP001207.3	0	0	0	0	0	0
GRHL2	0	0	0	0	0	0
AP001207.2	6	6	6	12	3	0
AP001207.1	0	0	0	0	0	0
NCALD	0	2	0	0	0	0
AP000426.1	0	0	0	0	0	0
AP001206.1	0	0	0	0	0	0
MIR5680	0	0	0	0	0	0
AP001328.1	0	0	0	0	0	0
RRM2B	88	114	124	146	156	0
UBR5-AS1	0	0	0	0	0	0
SUMO2P19	0	0	0	0	0	0
UBR5	304	346	388	356	339	0
AP002907.1	0	0	0	0	0	0
AP002981.1	0	0	0	0	0	0
RNU6ATAC8P	0	0	0	0	0	0
HSPE1P14	0	0	0	0	0	0
RPS12P15	0	0	0	0	0	0
AP002852.1	0	0	0	0	0	0
RNU6-1224P	0	0	0	0	0	0
ODF1	0	0	0	0	0	0
POU5F1P2	0	0	0	0	0	0
KLF10	125	86	85	95	120	0
AP002851.1	1	0	0	0	2	0
ADI1P2	0	0	0	0	0	0
